,YearStart,YearEnd,LocationAbbr,Topic,Question,DataValueType,DataValue,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,LocationID,DataValueTypeID,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3,Latitude,Longitude,HealthCluster
50239,2021,2021,IN,Tobacco,Current cigarette smoking among adults,Crude Prevalence,17.3,16.4,18.3,Overall,Overall,18,CRDPREV,,,,,39.766910452000445,-86.14996019399968,2
50240,2021,2021,IL,"Nutrition, Physical Activity, and Weight Status",Obesity among adults,Crude Prevalence,33.6,30.4,36.9,Sex,Male,17,CRDPREV,,,,,40.48501028300046,-88.99771017799969,0
50241,2021,2021,KY,Arthritis,Activity limitation due to arthritis among adults with arthritis,Crude Prevalence,10.6,9.2,12.1,Sex,Male,21,CRDPREV,,,,,37.645970271000465,-84.77497104799966,1
50242,2021,2021,ID,"Nutrition, Physical Activity, and Weight Status",Consumed fruit less than one time daily among high school students,Crude Prevalence,2.3,0.3,16.2,Race/Ethnicity,"Multiracial, non-Hispanic",16,CRDPREV,,,,,43.682630005000476,-114.3637300419997,2
50243,2021,2021,GU,Immunization,Influenza vaccination among adults 18â€“64 who are at increased risk,Crude Prevalence,30.1,16.9,47.7,Age,Age 18-44,66,CRDPREV,,,,,13.444304,144.793731,3
50244,2021,2021,HI,Diabetes,Diabetes among adults,Crude Prevalence,8.6,7.5,9.9,Sex,Female,15,CRDPREV,,,,,21.304850435000446,-157.85774940299973,0
50245,2021,2021,GU,Cardiovascular Disease,Taking medicine for high cholesterol among adults,Crude Prevalence,36.4,28.0,45.8,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",66,CRDPREV,,,,,13.444304,144.793731,3
50246,2021,2021,HI,Arthritis,Arthritis among adults,Crude Prevalence,19.3,17.3,21.4,Race/Ethnicity,"Asian, non-Hispanic",15,CRDPREV,,,,,21.304850435000446,-157.85774940299973,0
50247,2021,2021,IL,Tobacco,Current electronic vapor product use among high school students,Crude Prevalence,18.9,14.9,23.5,Race/Ethnicity,Hispanic,17,CRDPREV,,,,,40.48501028300046,-88.99771017799969,0
50248,2021,2021,IN,Social Determinants of Health,Lack of health insurance among adults aged 18-64 years,Crude Prevalence,6.9,5.8,8.1,Sex,Female,18,CRDPREV,,,,,39.766910452000445,-86.14996019399968,2
50249,2021,2021,HI,Immunization,Influenza vaccination among adults,Crude Prevalence,42.2,38.4,46.1,Race/Ethnicity,"Multiracial, non-Hispanic",15,CRDPREV,,,,,21.304850435000446,-157.85774940299973,0
50250,2021,2021,HI,Immunization,Influenza vaccination among adults,Crude Prevalence,49.0,46.3,51.7,Age,Age 45-64,15,CRDPREV,,,,,21.304850435000446,-157.85774940299973,0
50251,2021,2022,IN,Cognitive Health and Caregiving,Provided care for someone with dementia or other cognitive impairment in the past month among adults,Crude Prevalence,20.6,14.1,29.0,Race/Ethnicity,"Black, non-Hispanic",18,CRDPREV,,,,,39.766910452000445,-86.14996019399968,2
